name,scraped_time,on_sale,discount,original_price,sale_price,average_rating,scores,review_texts,Brand,SKU,Battery Capacity,Screen Size (inches),Build Type,Camera Front (Megapixels),Camera Back (Megapixels),Number Of Cameras,Display Protection,Model Year,Network Connections,Fast Charging,Wireless Charging,Number of SIM Slots,PPI,Charger Type,Flash,Bluetooth Support,Wi-Fi,SIM Type,Removable Battery,GPS,FM Radio,NFC,Fingerprint Sensor,Expandable Storage,Memory Card Slot Type,Video Resolution,Operating System,Notchted Display,Model,Headphone Jack,Display Type,Processor Type,Refresh Rate,Resolution,Warranty Policy EN
Honor X8 ,16/05/23,True,-7%,29990.0,27990.0,0.0,"[0, 0, 0, 0, 0]",,Honor,126931643_NP-1034432076,4000 - 4999 mAh,6.6 - 7 Inch,Plastic,16 MP,64 MP+2 MP+2 MP,4,Glass,2023,"4G,GSM,3G,3.5G - HSDPA",Yes,No,2,,Type-C,Yes,Yes,Yes,,No,Yes,,,Side Mounted,Yes,,,,,,,,,,,"Authorised Service Center, CTC Mall, 5th Floor"
Nokia C20 2,16/05/23,False,,10999.0,10999.0,0.0,"[0, 0, 0, 0, 0]",,Nokia,120168784_NP-1032826437,3000 - 3999 mAh,6.1 - 6.5 Inch,Not Specified,5mp,5mp,2,Glass,Not Specified,,no,No,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy A04 ,16/05/23,False,,17000.0,17000.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,126323778_NP-1034230393,4000 - 4999 mAh,6.1 - 6.5 Inch,Not Specified,5MP,50MP,2,Not Specified,2022,4G,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
SAMSUNG Galaxy A03s ,16/05/23,False,,15399.0,15399.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,112899359_NP-1030654259,5000 - 5999 mAh,6.1 - 6.5 Inch,Not Specified,5,13,3,Not Specified,Not Specified,4G,N/A,Not Specified,2,,,,,,,,,,,,,,,,,,,,,,,
Vivo Mobile Y16,16/05/23,False,,19999.0,19999.0,0.0,"[0, 0, 0, 0, 0]",,No Brand,120913401_NP-1032966495,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5MP,13MP,2,Not Specified,2022,4G,10W wired charger,No,2,,,,,,,,,,,,,,,,,,,,,,,
Infinix Hot 10i ,16/05/23,True,-10%,13999.0,12650.0,0.0,"[0, 0, 0, 0, 0]",,Infinix,107709100_NP-1028965383,6000 - 6999 mAh,6.6 - 7 Inch,Plastic,5 MP,13 MP,4,Plastic,2021,Not Specified,Yes,No,2,,,,,,,,,,,,,,HD,Android,Yes,PR652B,Yes,IPS LCD,Not Specified,,Full HD,
Black  Samsung Galaxy A13 ,16/05/23,False,,25499.0,25499.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,127283359_NP-1034510263,Not Specified,6.6 - 7 Inch,Not Specified,Not Specified,Not Specified,5,Corning Gorilla Glass,2022,Not Specified,Yes,No,2,,,,,,,,,,,,,,,,,,,,Not Specified,,,
Blue Samsung Galaxy A13 ,16/05/23,False,,21499.0,21499.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,127289140_NP-1034499504,Not Specified,6.6 - 7 Inch,Not Specified,Not Specified,Not Specified,5,Corning Gorilla Glass,2022,Not Specified,Yes,No,2,,,,,,,,,,,,,,,,,,,,Not Specified,,,
Zte Blade A51,16/05/23,False,,12990.0,12990.0,0.0,"[0, 0, 0, 0, 0]",,ZTE,120011937_NP-1032797737,4000 - 4999 mAh,6.1 - 6.5 Inch,Plastic,5,13,3,Glass,2022,4G,normal type c charging,No,2,,,,,,,,,,,,,,,,,,,,,,,
Realme Phone C35 Specifications,16/05/23,False,,21299.0,21299.0,0.0,"[0, 0, 0, 0, 0]",,No Brand,120906980_NP-1032959260,5000 - 5999 mAh,Less than 3.5 Inch,Glass,8MP f/2.0,50MP f/1.8,4,Not Specified,2022,4G,"USB Type-C 2.0,OTG",Not Specified,2,,,,,,,,,,,,,,,,,,,,,,,
Blue Samsung Galaxy A13 ,16/05/23,False,,25499.0,25499.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,127285270_NP-1034491830,Not Specified,6.6 - 7 Inch,Not Specified,Not Specified,Not Specified,5,Corning Gorilla Glass,2022,Not Specified,Yes,No,2,,,,,,,,,,,,,,,,,,,,Not Specified,,,
Samsung A04e,16/05/23,False,,13499.0,13499.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,123223790_NP-1033561003,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5,13,3,Glass,2022,4G,5000mh battery,Not Specified,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy A34 5G ,16/05/23,False,,45999.0,45999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,126580774_NP-1034302397,4000 - 4999 mAh,6.6 - 7 Inch,Not Specified,13MP,48MP,3,Not Specified,2023,5G,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Micromax 2b cortex a75 octa core processor fingerprint,16/05/23,True,-15%,19990.0,16999.0,0.0,"[0, 0, 0, 0, 0]",,Micromax,123192450_NP-1033466605,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5mp,13+2mp,3,Not Specified,2022,"4G,3G,2G",no,No,2,,,,,,,,,,,,,,,,,,,,,,,
LAVA Z3 ,16/05/23,False,,12999.0,12999.0,0.0,"[0, 0, 0, 0, 0]",,Lava,122960573_NP-1033422046,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,8MP,Dual 8MP Beauty Mode & AI Mode,3,Glass,2022,"4G,GSM,3G,2G,3.5G - HSDPA",Yes,No,2,200-300 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,Yes,No,Rear,Yes,Dedicated,1080p,Android,Yes,Z3,Yes,IPS LCD,Octa-core,60 Hz,HD,
Nokia G10 ,16/05/23,False,,16899.0,16899.0,0.0,"[0, 0, 0, 0, 0]",,Nokia,112887941_NP-1030648857,5000 - 5999 mAh,6.1 - 6.5 Inch,Not Specified,8,13,3,Not Specified,Not Specified,4G,No,Not Specified,2,,,,,,,,,,,,,,,,,,,,,,,
